index,kernel,address_hex,address_decimal,source_file,source_line,source_text,source_annotation,predicate,opcode,operands,instruction
0,probe_timer_only,0x0000,0,C:\\Users\\as042\\OneDrive\\Desktop\\SASSScope\\src/probe_kernels.cu,83,"extern ""C"" __global__ void probe_timer_only(","File ""C:\\Users\\as042\\OneDrive\\Desktop\\SASSScope\\src/probe_kernels.cu"", line 83",,IMAD.MOV.U32,"R1, RZ, RZ, c[0x0][0x28]","IMAD.MOV.U32 R1, RZ, RZ, c[0x0][0x28]"
1,probe_timer_only,0x0010,16,C:\\Users\\as042\\OneDrive\\Desktop\\SASSScope\\src/probe_kernels.cu,89,if (blockIdx.x != 0 || threadIdx.x != 0) {,"File ""C:\\Users\\as042\\OneDrive\\Desktop\\SASSScope\\src/probe_kernels.cu"", line 89",,S2UR,"UR4, SR_CTAID.X","S2UR UR4, SR_CTAID.X"
2,probe_timer_only,0x0020,32,C:\\Users\\as042\\OneDrive\\Desktop\\SASSScope\\src/probe_kernels.cu,89,if (blockIdx.x != 0 || threadIdx.x != 0) {,"File ""C:\\Users\\as042\\OneDrive\\Desktop\\SASSScope\\src/probe_kernels.cu"", line 89",,S2R,"R0, SR_TID.X","S2R R0, SR_TID.X"
3,probe_timer_only,0x0030,48,C:\\Users\\as042\\OneDrive\\Desktop\\SASSScope\\src/probe_kernels.cu,89,if (blockIdx.x != 0 || threadIdx.x != 0) {,"File ""C:\\Users\\as042\\OneDrive\\Desktop\\SASSScope\\src/probe_kernels.cu"", line 89",,LOP3.LUT,"P0, RZ, R0, UR4, RZ, 0xfc, !PT","LOP3.LUT P0, RZ, R0, UR4, RZ, 0xfc, !PT"
4,probe_timer_only,0x0040,64,C:\\Users\\as042\\OneDrive\\Desktop\\SASSScope\\src/probe_kernels.cu,89,if (blockIdx.x != 0 || threadIdx.x != 0) {,"File ""C:\\Users\\as042\\OneDrive\\Desktop\\SASSScope\\src/probe_kernels.cu"", line 89",@P0,EXIT,,@P0 EXIT
5,probe_timer_only,0x0050,80,C:\\Users\\as042\\OneDrive\\Desktop\\SASSScope\\src/probe_kernels.cu,89,if (blockIdx.x != 0 || threadIdx.x != 0) {,"File ""C:\\Users\\as042\\OneDrive\\Desktop\\SASSScope\\src/probe_kernels.cu"", line 89",,ULDC.64,"UR4, c[0x0][0x118]","ULDC.64 UR4, c[0x0][0x118]"
6,probe_timer_only,0x0060,96,C:\\Users\\as042\\OneDrive\\Desktop\\SASSScope\\src/probe_kernels.cu,94,"read_clock_after_3(seed, multiplier, addend);","File ""C:\\Users\\as042\\OneDrive\\Desktop\\SASSScope\\src/probe_kernels.cu"", line 94",,CS2R,"R2, SR_CLOCKLO","CS2R R2, SR_CLOCKLO"
7,probe_timer_only,0x0070,112,C:\\Users\\as042\\OneDrive\\Desktop\\SASSScope\\src/probe_kernels.cu,94,"read_clock_after_3(seed, multiplier, addend);","File ""C:\\Users\\as042\\OneDrive\\Desktop\\SASSScope\\src/probe_kernels.cu"", line 94",,CS2R,"R4, SR_CLOCKLO","CS2R R4, SR_CLOCKLO"
8,probe_timer_only,0x0080,128,C:\\Users\\as042\\OneDrive\\Desktop\\SASSScope\\src/probe_kernels.cu,99,cycles[0] = end - start;,"File ""C:\\Users\\as042\\OneDrive\\Desktop\\SASSScope\\src/probe_kernels.cu"", line 99",,IADD3,"R6, P0, -R2, R4, RZ","IADD3 R6, P0, -R2, R4, RZ"
9,probe_timer_only,0x0090,144,C:\\Users\\as042\\OneDrive\\Desktop\\SASSScope\\src/probe_kernels.cu,99,cycles[0] = end - start;,"File ""C:\\Users\\as042\\OneDrive\\Desktop\\SASSScope\\src/probe_kernels.cu"", line 99",,MOV,"R2, c[0x0][0x160]","MOV R2, c[0x0][0x160]"
