"File Path","C:/Users/as042/OneDrive/Desktop/SASSScope/src/probe_kernels.cu"
"Function Name","probe_timer_only"
"Line No","Source","Address","Source","Warp Stall Sampling (All Samples)","Warp Stall Sampling (Not-issued Samples)","Instructions Executed","Thread Instructions Executed","Predicated-On Thread Instructions Executed","Avg. Threads Executed","Avg. Predicated-On Threads Executed","Avg. Predicated-On Threads Unexecuted","Address Space","Access Operation","Access Size","L1 Tag Requests Global","L1 Conflicts Shared N-Way","L2 Theoretical Sectors Global Excessive","L2 Theoretical Sectors Global","L2 Theoretical Sectors Global Ideal","L2 Explicit Evict Policies","L2 Explicit Hit Policy Evict First","L2 Explicit Hit Policy Evict Last","L2 Explicit Hit Policy Evict Normal","L2 Explicit Hit Policy Evict Normal Demote","L2 Explicit Miss Policy Evict First","L2 Explicit Miss Policy Evict Normal"
"36","asm volatile(","-","-","0","0","2","2","2","2","2","62","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0"
"","","0x700e7d160","      CS2R R2, SR_CLOCKLO","0","0","1","1","1","1","1","31","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0"
"","","0x700e7d170","      CS2R R4, SR_CLOCKLO","0","0","1","1","1","1","1","31","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0"
"53","return read_clock64_raw();","-","-","0","0","2","2","2","2","2","62","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0"
"","","0x700e7d160","      CS2R R2, SR_CLOCKLO","0","0","1","1","1","1","1","31","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0"
"","","0x700e7d170","      CS2R R4, SR_CLOCKLO","0","0","1","1","1","1","1","31","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0"
"83","extern "C" __global__ void probe_timer_only(","-","-","0","0","1","1","1","1","1","31","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0"
"","","0x700e7d100","      IMAD.MOV.U32 R1, RZ, RZ, c[0x0][0x28]","0","0","1","1","1","1","1","31","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0"
"89","if (blockIdx.x != 0 || threadIdx.x != 0) {","-","-","0","0","5","5","4","5","4","156","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0"
"","","0x700e7d110","      S2UR UR4, SR_CTAID.X","0","0","1","1","1","1","1","31","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0"
"","","0x700e7d120","      S2R R0, SR_TID.X","0","0","1","1","1","1","1","31","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0"
