ID,0,1,2
Time,2026-Jul-13 11:04:48,2026-Jul-13 11:04:49,2026-Jul-13 11:04:49
API Call ID,579,585,591
Estimated Speedup [%],98.28,98.28,98.28
Runtime Improvement [us],4.53,967.85,341.75
Issues Detected [issue],13,12,9
Function Name,probe_timer_only,probe_dependent_ffma,probe_independent_ffma_8
Mangled Name,probe_timer_only,probe_dependent_ffma,probe_independent_ffma_8
Demangled Name,probe_timer_only,probe_dependent_ffma,probe_independent_ffma_8
Original Demangled Name,probe_timer_only,probe_dependent_ffma,probe_independent_ffma_8
Process,[28264] probe_ffma.exe,[28264] probe_ffma.exe,[28264] probe_ffma.exe
Thread ID [thread],6920,6920,6920
Device Name,NVIDIA GeForce RTX 3080 Ti Laptop GPU,NVIDIA GeForce RTX 3080 Ti Laptop GPU,NVIDIA GeForce RTX 3080 Ti Laptop GPU
CUprogram,0x1b2f8ce6480,0x1b2f8ce6480,0x1b2f8ce6480
CUfunction,0x1b2eb3573e0,0x1b2eb354890,0x1b2eb353550
Grid Offset,"    0,    0,    0","    0,    0,    0","    0,    0,    0"
Grid Size,"    1,    1,    1","    1,    1,    1","    1,    1,    1"
Block Size [block],"    1,    1,    1","    1,    1,    1","    1,    1,    1"
Grid Dimensions,3,3,3
gpc__cycles_elapsed.max [cycle],"2,636","576,056","203,391"
gpu__time_duration.sum [us],4.61,984.83,347.74
sm__throughput.avg.pct_of_peak_sustained_elapsed [%],0.00,0.11,0.31
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed [%],0.96,0.03,0.03
FBSP.TriageSCG.dramc__read_throughput.avg.pct_of_peak_sustained_elapsed [%],{416},{1930},{844}
FBSP.TriageSCG.dramc__throughput.avg.pct_of_peak_sustained_elapsed [%],{416},{1930},{844}
FBSP.TriageSCG.dramc__write_throughput.avg.pct_of_peak_sustained_elapsed [%],{416},{1930},{844}
FE_B.TriageAC.gr__ctas_launched_queue_sync.sum [block],1 {416},1 {1930},1 {844}
LTS.TriageSCG.lts__average_t_sector_hit_rate_realtime.pct [%],{443},{1621},{789}
LTS.TriageSCG.lts__throughput.avg.pct_of_peak_sustained_elapsed [%],{443},{1621},{789}
SM_A.TriageAC.l1tex__data_pipe_lsu_wavefronts.avg,0.05 {443},0.05 {1621},0.05 {789}
SM_A.TriageAC.l1tex__lsu_writeback_active.avg [cycle],0.02 {443},0.02 {1621},0.02 {789}
SM_A.TriageAC.sm__cycles_active.avg [cycle],16.09 {416},"9,901.16 {1930}","3,475.74 {844}"
SM_A.TriageAC.sm__inst_executed_realtime.avg.per_cycle_active [inst/cycle],0.09 {416},252.14 {1930},252.14 {844}
SM_A.TriageSCG.l1tex__throughput.avg.pct_of_peak_sustained_elapsed [%],{443},{1621},{789}
SM_A.TriageSCG.sm__inst_executed_pipe_alu_realtime.avg.pct_of_peak_sustained_elapsed [%],0.00 {416},0.01 {1930},0.02 {844}
