run,kernel,dynamic_ffma_count,total_cycles,cycles_per_ffma,checksum
0,timer_only,0,3,,1.00010001659
0,dependent,131072,573513,4.3755569458,1.03135001659
0,independent_8,131072,200780,1.53182983398,8.0356502533
1,timer_only,0,3,,1.00010001659
1,dependent,131072,573513,4.3755569458,1.03135001659
1,independent_8,131072,200780,1.53182983398,8.0356502533
2,timer_only,0,3,,1.00010001659
2,dependent,131072,573513,4.3755569458,1.03135001659
2,independent_8,131072,200780,1.53182983398,8.0356502533
3,timer_only,0,3,,1.00010001659
3,dependent,131072,573513,4.3755569458,1.03135001659
3,independent_8,131072,200780,1.53182983398,8.0356502533
4,timer_only,0,3,,1.00010001659
4,dependent,131072,573513,4.3755569458,1.03135001659
4,independent_8,131072,200780,1.53182983398,8.0356502533
5,timer_only,0,3,,1.00010001659
5,dependent,131072,573513,4.3755569458,1.03135001659
5,independent_8,131072,200780,1.53182983398,8.0356502533
6,timer_only,0,3,,1.00010001659
6,dependent,131072,573513,4.3755569458,1.03135001659
6,independent_8,131072,200780,1.53182983398,8.0356502533
7,timer_only,0,3,,1.00010001659
7,dependent,131072,573513,4.3755569458,1.03135001659
7,independent_8,131072,200780,1.53182983398,8.0356502533
8,timer_only,0,3,,1.00010001659
8,dependent,131072,573513,4.3755569458,1.03135001659
8,independent_8,131072,200780,1.53182983398,8.0356502533
9,timer_only,0,3,,1.00010001659
9,dependent,131072,573513,4.3755569458,1.03135001659
9,independent_8,131072,200780,1.53182983398,8.0356502533
